
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.287722                       # Number of seconds simulated
sim_ticks                                287722185000                       # Number of ticks simulated
final_tick                               2576346999500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                1529220                       # Simulator instruction rate (inst/s)
host_op_rate                                  1529220                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                              514652565                       # Simulator tick rate (ticks/s)
host_mem_usage                                 707204                       # Number of bytes of host memory used
host_seconds                                   559.06                       # Real time elapsed on the host
sim_insts                                   854927351                       # Number of instructions simulated
sim_ops                                     854927351                       # Number of ops (including micro ops) simulated
system.voltage_domain.voltage                       1                       # Voltage in Volts
system.clk_domain.clock                          1000                       # Clock period in ticks
system.mem_ctrls.bytes_read::cpu0.inst          26048                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu0.data          50496                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu1.inst           5824                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu1.data          40384                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu2.inst          65024                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu2.data         143616                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu3.inst          22080                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu3.data          60800                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::total             414272                       # Number of bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu0.inst        26048                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu1.inst         5824                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu2.inst        65024                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu3.inst        22080                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::total        118976                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_written::writebacks        48576                       # Number of bytes written to this memory
system.mem_ctrls.bytes_written::total           48576                       # Number of bytes written to this memory
system.mem_ctrls.num_reads::cpu0.inst             407                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu0.data             789                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu1.inst              91                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu1.data             631                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu2.inst            1016                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu2.data            2244                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu3.inst             345                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu3.data             950                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::total                6473                       # Number of read requests responded to by this memory
system.mem_ctrls.num_writes::writebacks           759                       # Number of write requests responded to by this memory
system.mem_ctrls.num_writes::total                759                       # Number of write requests responded to by this memory
system.mem_ctrls.bw_read::cpu0.inst             90532                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu0.data            175503                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu1.inst             20242                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu1.data            140358                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu2.inst            225996                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu2.data            499148                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu3.inst             76741                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu3.data            211315                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::total               1439833                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::cpu0.inst        90532                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::cpu1.inst        20242                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::cpu2.inst       225996                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::cpu3.inst        76741                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::total           413510                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::writebacks          168830                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::total               168830                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_total::writebacks          168830                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu0.inst            90532                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu0.data           175503                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu1.inst            20242                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu1.data           140358                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu2.inst           225996                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu2.data           499148                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu3.inst            76741                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu3.data           211315                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::total              1608663                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.readReqs                        6473                       # Number of read requests accepted
system.mem_ctrls.writeReqs                        759                       # Number of write requests accepted
system.mem_ctrls.readBursts                      6473                       # Number of DRAM read bursts, including those serviced by the write queue
system.mem_ctrls.writeBursts                      759                       # Number of DRAM write bursts, including those merged in the write queue
system.mem_ctrls.bytesReadDRAM                 410880                       # Total number of bytes read from DRAM
system.mem_ctrls.bytesReadWrQ                    3392                       # Total number of bytes read from write queue
system.mem_ctrls.bytesWritten                   45120                       # Total number of bytes written to DRAM
